All,Све
"Default Titles and Description","Подразумевано Титлес анд Опис"
"Rule Title for All Store Views","Руле Наслов фор Све Продавница Виеwс"
"Rule Description for All Store Views","Руле Опис фор Све Продавница Виеwс"
"Titles and Descriptions Per Store View","Титлес анд Десцриптионс Пер Продавница Преглед"
"Overrides default titles and descriptions. Note that if an email template is not specified for this store view, the respective variable values will be deleted.","Оверридес дефаулт титлес анд десцриптионс. Напомена тхат иф ан емаил темплате ис нот специфиед фор тхис сторе виеw, тхе респецтиве вариабле валуес wилл бе делетед."
"Matched Customers","Матцхед Купци"
"Please correct the reminder rule you requested.","Молимо исправите тхе реминдер руле yоу реqуестед."
"You deleted the reminder rule.","Обрисали сте правило подсетника."
"Reminder Rules","Правила подсетника"
"Email Reminders","Емаил подсетници"
"New Reminder Rule","Ново правило подсетника"
"You matched the reminder rule.","Подударили сте правило подсетника."
"Reminder rule matching error.","Грешка подударања правила подсетника."
"You saved the reminder rule.","Сачували сте правило подсетника."
"We could not save the reminder rule.","Нисмо могли сачувати правило подсетника."
"Total Amount","Укупан износ"
"Unknown quote total specified","Непознат qуоте тотал специфиед"
"Numeric Attribute","Нумериц Атрибут"
"Unknown attribute specified","Непознат аттрибуте специфиед"
"Items Subselection","Подизбор артикала"
"Coupon Code","Код купона"
"Cart Line Items","Корпа Лине Итемс"
"Item SKU %1 %2 ","Итем СКУ %1 %2"
"Items Quantity","Количина артикала"
"Total shopping cart items quantity %1 %2:","Укупно схоппинг царт итемс qуантитy %1 %2:"
"Number of wish list items %1 %2 ","Нумбер оф wисх лист итемс %1 %2"
Sharing,Дељење
"Wish List %1 shared","Wисх Листа %1 схаред"
is,је
"is not",није
"Please specify a valid number of minute.","Молимо наведите а валид нумбер оф минуте."
"Unable to save Cron expression","Није могуће сачувати Црон израз"
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<б>Важно</б>: Ако изаберете ""Користи аутоматско генерисање"", ово правило више неће бити коришћено ни у једном аутоматском подсетнику емаила за напуштене корпе"
"Validate error 1","Грешка валидације 1"
"Validate error 2","Грешка валидације 2"
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a> and apply the coupon ""%coupon_code"" in the shopping cart.","Да бисте искористили промоцију, пријавите се на <а хреф=""%аццоунт_урл"">%сторе_наме</а> и примените купон ""%цоупон_цоде"" у корпи за куповину."
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a>","Да бисте искористили промоцију, пријавите се на <а хреф=""%аццоунт_урл"">%сторе_наме</а>"
"Automated Email Reminder Rules","Аутоматед Е-пошта Реминдер Рулес"
"Enable Reminder Emails","Омогући Реминдер Емаилс"
"Valid range: 0-59 (default 0).","Важећи опсег: 0-59 (подразумевано 0)."
"Email Send Failure Threshold","Е-пошта Пошаљи Фаилуре Тхресхолд"
"Reminder Email Sender","Пошиљалац емаила подсетника"
"The attribute specified is unknown. Verify the attribute and try again.","Тхе аттрибуте специфиед ис непознат. Верифy тхе аттрибуте анд покушајте поново."
"The valid number of minutes needs to be entered. Enter and try again.","Тхе валид нумбер оф минутес неедс то бе ентеред. Унесите и покушајте поново."
"The Cron expression was unable to be saved.","Тхе Црон еxпрессион wас није могуће бе савед."
"New Accounts","Ново Аццоунтс"
"Customers by number of orders","Купци бy нумбер оф ордерс"
"Customers by Orders Total","Купци бy Ордерс Укупно"
"Date Used","Датум Усед"
"Invalid date specified","Неисправан дате специфиед"
"Show Reviews","Прикажи Рецензије"
"Products Report","Производи Репорт"
"Products Ordered","Производи Ордеред"
"Show Report","Прикажи Репорт"
"Customers Reviews","Купци Рецензије"
"Reviews for %1","Рецензије фор %1"
"Products Reviews","Производи Рецензије"
"Products Bestsellers Report","Производи Бестселлерс Репорт"
"Order Quantity","Поруџбина Количина"
"Coupons Usage Report","Купони Усаге Репорт"
"Coupon Code","Купон Код"
"Price Rule","Цена Руле"
"Sales Subtotal","Продаја Међузбир"
"Sales Discount","Продаја Попуст"
"Sales Total","Продаја Укупно"
"Total Invoiced vs. Paid Report","Укупно Инвоицед вс. Паид Репорт"
"Total Invoiced","Укупно Инвоицед"
"Paid Invoices","Паид Фактуре"
"Unpaid Invoices","Унпаид Фактуре"
"Total Refunded Report","Укупно Рефундед Репорт"
"Total Refunded","Укупно Рефундед"
"Total Ordered Report","Укупно Ордеред Репорт"
"Sales Items","Продаја Итемс"
"Sales Tax","Продаја Порез"
"Sales Shipping","Продаја Достава"
"Total Shipped Report","Укупно Схиппед Репорт"
"Total Sales Shipping","Укупно Продаја Достава"
"Total Shipping","Укупно Достава"
"Order Taxes Report Grouped by Tax Rate","Поруџбина Таxес Репорт Гроупед бy Порез Рате"
"Tax Amount","Износ пореза"
"Applied Coupon","Апплиед Купон"
"Products in carts","Производи ин цартс"
"Wish List Purchase","Wисх Листа Пурцхасе"
"Wish List vs. Regular Order","Wисх Листа вс. Регулар Поруџбина"
"Times Deleted","Тимес Обрисан"
"Index type is not valid","Индекс тyпе ис нот валид"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Последње ажурирање: %1. Да освежите <а хреф=""%2"">статистику</а> последњег дана, кликните <а хреф=""%3"">овде</а>."
"New Accounts Report","Ново Аццоунтс Репорт"
"Customers by Number of Orders","Купци бy Нумбер оф Ордерс"
"Order Count Report","Поруџбина Цоунт Репорт"
"Order Total Report","Поруџбина Укупно Репорт"
"Low Stock","Лоw Залихе"
"Low Stock Report","Лоw Залихе Репорт"
"Ordered Products Report","Ордеред Производи Репорт"
"Products Most Viewed Report","Производи Мост Виеwед Репорт"
"Product Views Report","Производ Виеwс Репорт"
"An error occurred while showing the product views report. Please review the log and try again.","Дошло је до грешке wхиле схоwинг тхе продуцт виеwс репорт. Плеасе ревиеw тхе лог анд покушајте поново."
Review,Рецензија
Reviews,Рецензије
"Customers Report","Купци Репорт"
"Customer Reviews Report","Купац Рецензије Репорт"
"Product Reviews Report","Производ Рецензије Репорт"
"Product Reviews","Производ Рецензије"
Coupons,Купони
"Coupons Report","Купони Репорт"
"Invoice Report","Фактура Репорт"
"Sales Report","Продаја Репорт"
"Shipping Report","Достава Репорт"
"Tax Report","Порез Репорт"
"Customer Shopping Carts","Купац Схоппинг Цартс"
"Products in Carts","Производи ин Цартс"
"No report code is specified.","Не репорт цоде ис специфиед."
"Recent statistics have been updated.","Рецент статистицс су упдатед."
"The product type filter specified is incorrect.","Тхе продуцт тyпе филтер специфиед ис нетачан."
"Order Taxes Report Grouped by Tax Rates","Поруџбина Таxес Репорт Гроупед бy Порез Ратес"
"Total Invoiced VS Paid Report","Укупно Инвоицед ВС Паид Репорт"
"Promotion Coupons Usage Report","Промотион Купони Усаге Репорт"
"Most Viewed Products Report","Мост Виеwед Производи Репорт"
"Show By","Прикажи Бy"
"Select Date","Изабери Датум"
"Customers that have Wish List: %1","Купци тхат хаве Wисх Листа: %1"
"Number of items bought from a Wish List: %1","Нумбер оф итемс боугхт фром а Wисх Листа: %1"
"Number of times Wish Lists have been shared (emailed): %1","Нумбер оф тимес Wисх Листс су схаред (емаилед): %1"
"Number of Wish List referrals: %1","Нумбер оф Wисх Листа реферралс: %1"
"Number of Wish List conversions: %1","Нумбер оф Wисх Листа цонверсионс: %1"
"Show Report For:","Прикажи Репорт Фор:"
"Products in Cart","Производи ин Корпа"
"Abandoned Cart","Абандонед Корпа"
"Search Terms","Појмови за претрагу"
"By Customers","Бy Купци"
"By Products","Бy Производи"
"Order Count","Поруџбина Цоунт"
"Show for Current","Прикажи фор Цуррент"
"Default Recently Viewed Products Count","Подразумевано Рецентлy Виеwед Производи Цоунт"
"Default Recently Compared Products Count","Подразумевано Рецентлy Цомпаред Производи Цоунт"
"Year-To-Date Starts","Yеар-То-Датум Стартс"
"Select day of the month.","Изабери даy оф тхе монтх."
"Stock Quantity","Залихе Количина"
"Ordered Quantity","Ордеред Количина"
"Average (Approved)","Авераге (Одобрен)"
"Last Review","Последњи Рецензија"
"Order Created","Поруџбина Креиран"
"Order Updated","Поруџбина Ажуриран"
"The Order Updated report is created in real time and does not require a refresh.","Тхе Поруџбина Ажуриран репорт ис цреатед ин реал тиме анд доес нот реqуире а рефресх."
"Last Invoice Created Date","Последњи Фактура Креиран Датум"
"Last Credit Memo Created Date","Последњи Кредитно одобрење Креиран Датум"
"First Invoice Created Date","Први Фактура Креиран Датум"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Да ли сте сигурни желите да рефресх лифетиме статистицс ригхт ноw? Тхис оператион маy слоw доwн yоур цустомерс' схоппинг еxпериенце."
"Refresh Statistics for the Last Day","Рефресх Статистицс фор тхе Последњи Даy"
"Are you sure you want to refresh statistics for the last day?","Да ли сте сигурни желите да рефресх статистицс фор тхе ласт даy?"
"Viewed Products Images and Names Template","Виеwед Производи Имагес анд Намес Темплате"
"Viewed Products Names Only Template","Виеwед Производи Намес Онлy Темплате"
"Viewed Products Images Only Template","Виеwед Производи Имагес Онлy Темплате"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Листа оф Производи Рецентлy Цомпаред анд Ремовед фром тхе Цомпаре Листа бy Виситор"
"Compared Products Images and Names Template","Цомпаред Производи Имагес анд Намес Темплате"
"Compared Product Names Only Template","Цомпаред Производ Намес Онлy Темплате"
"Compared Product Images Only Template","Цомпаред Производ Имагес Онлy Темплате"
"System configuration is not found for report event type ""%1""","Конфигурација система није пронађена за тип догађаја извештаја ""%1"""
"Enable Reports","Омогући Извештаји"
"Enable ""Product View"" Report","Омогући извештај ""Преглед производа"""
"Enable ""Send Product Link To Friend"" Report","Омогући извештај ""Пошаљи линк производа пријатељу"""
"Enable ""Add Product To Compare List"" Report","Омогући извештај ""Додај производ у листу за поређење"""
"If enabled, will collect statistic of products added to Compare List","Иф енаблед, wилл цоллецт статистиц оф продуцтс аддед то Цомпаре Листа"
"Enable ""Product Added To Cart"" Report","Омогући извештај ""Производ додат у корпу"""
"If enabled, will collect statistic of products added to Cart","Иф енаблед, wилл цоллецт статистиц оф продуцтс аддед то Корпа"
"Enable ""Product Added To WishList"" Report","Омогући извештај ""Производ додат у листу жеља"""
"Enable ""Share WishList"" Report","Омогући извештај ""Подели листу жеља"""
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Последње ажурирање: %1. Да освежите <а хреф=""%2"">статистику</а> последњег дана, кликните <а хреф=""#2"" дата-пост=""%3"">овде</а>."
"We can't add the item to the Requisition List right now: %1.","Wе цан'т адд тхе итем то тхе Реqуиситион Листа ригхт ноw: %1."
"%1 item(s) were added to the ""%2""","%1 ставка(е) су додате у ""%2"""
"Requisition List","Реqуиситион Листа"
"Invalid item option format.","Неисправан итем оптион формат."
"Could not save Requisition List","Није могао саве Реqуиситион Листа"
"Cannot delete Requisition List with id %1","Не може делете Реqуиситион Листа wитх ид %1"
"Cannot specify product.","Не може специфy продуцт."
"%1 has been updated in your requisition list.","%1 је упдатед ин yоур реqуиситион лист."
"Product %1 has been added to the requisition list %2.","Производ %1 је аддед то тхе реqуиситион лист %2."
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","Није могао саве Реqуиситион Листа. Маxимум нумбер оф реqуиситион листс wас еxцеедед."
"Warning message.","Упозорење мессаге."
"No such entity","Не суцх ентитy"
"Could not save","Није могао саве"
"Add to Requisition List","Додај то Реqуиситион Листа"
"Update Requisition List","Ажурирај Реqуиситион Листа"
"Create Requisition List","Креирај Реqуиситион Листа"
"Create New Requisition List","Креирај Ново Реqуиситион Листа"
"Rename Requisition List","Ренаме Реqуиситион Листа"
"Update List","Ажурирај Листа"
"Delete Requisition List","Обриши Реqуиситион Листа"
"Edit item","Измени итем"
"Copy Selected","Копирај Селецтед"
Copy,Копирај
"Move Selected","Премести Селецтед"
"Remove Selected","Уклони Селецтед"
"Requisition List Name","Реqуиситион Листа Назив"
"This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue.","Тхис ацтион не може бе перформед бецаусе тхе селецтед продуцт(с) реqуире аттентион. Yоу муст ресолве тхесе иссуес бефоре yоу цан цонтинуе."
"Please Select Product","Плеасе Изабери Производ"
"Please select at least one product to proceed.","Молимо изаберите ат леаст оне продуцт то процеед."
"B2B Requisition List","Б2Б Реqуиситион Листа"
"Enable Requisition List","Омогући Реqуиситион Листа"
"Name & Description","Назив & Опис"
"Save Review","Сачувај Рецензија"
"New Review","Ново Рецензија"
"Review Details","Рецензија Детаљи"
"Product Rating","Производ Оцена"
"Summary of Review","Сажетак оф Рецензија"
"Save and Previous","Сачувај анд Претходни"
"Save and Next","Сачувај анд Следећи"
"Delete Review","Обриши Рецензија"
"Edit Review '%1'","Измени Рецензија '%1'"
"Summary Rating","Сажетак Оцена"
"Detailed Rating","Детаилед Оцена"
"Update Status","Ажурирај Статус"
"Pending Reviews of Customer `%1`","На чекању Рецензије оф Купац `%1`"
"Pending Reviews","На чекању Рецензије"
"All Reviews of Customer `%1`","Све Рецензије оф Купац `%1`"
"All Reviews of Product `%1`","Све Рецензије оф Производ `%1`"
"All Reviews","Све Рецензије"
"Product Store Name","Производ Продавница Назив"
"Manage Ratings","Манаге Оцене"
"Add New Rating","Додај Ново Оцена"
"Save Rating","Сачувај Оцена"
"Delete Rating","Обриши Оцена"
"Edit Rating #%1","Измени Оцена #%1"
"New Rating","Ново Оцена"
"Rating Title","Оцена Наслов"
"Rating Visibility","Оцена Висибилитy"
"Is Active","Ис Активан"
"Rating Information","Оцена Информације"
"Pending product review(s)","На чекању продуцт ревиеw(с)"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Производ: <а хреф=""%1"" таргет=""_бланк"">%2</а> <бр/>"
"Summary of review: %1 <br/>","Сажетак оф ревиеw: %1 <бр/>"
"Review: %1 <br/>","Рецензија: %1 <бр/>"
"Store: %1 <br/>","Продавница: %1 <бр/>"
"Click <a href=""%1"">here</a> to see the review.","Кликните <а хреф=""%1"">овде</а> да видите рецензију."
"Product: ""%1"" reviewed by: %2","Производ: ""%1"" је рецензирао: %2"
"Pending Reviews RSS","На чекању Рецензије РСС"
"Reviews %1","Рецензије %1"
"The review has been deleted.","Тхе ревиеw је делетед."
"Something went wrong  deleting this review.","Нешто није у реду  делетинг тхис ревиеw."
"Customer Reviews","Купац Рецензије"
"Edit Review","Измени Рецензија"
"Please select review(s).","Молимо изаберите ревиеw(с)."
"Something went wrong while deleting these records.","Нешто није у реду wхиле делетинг тхесе рецордс."
"Something went wrong while updating these review(s).","Нешто није у реду wхиле упдатинг тхесе ревиеw(с)."
"Something went wrong while saving this review.","Нешто није у реду wхиле савинг тхис ревиеw."
"The review was removed by another user or does not exist.","Тхе ревиеw wас ремовед бy анотхер усер ор не постоји."
Ratings,Оцене
"My Product Reviews","Мy Производ Рецензије"
"Cannot initialize product","Не може инитиализе продуцт"
"Storage key was not set","Стораге кеy није сет"
Approved,Одобрен
"Not Approved","Нот Одобрен"
"Please enter a review summary.","Молимо унесите а ревиеw суммарy."
"Please enter a nickname.","Молимо унесите а ницкнаме."
"Please enter a review.","Молимо унесите а ревиеw."
"Rating isn't Available","Оцена исн'т Аваилабле"
"Please specify a rating title for a store, or we'll just use the default value.","Молимо наведите а ратинг титле фор а сторе, ор wе'лл јуст усе тхе дефаулт валуе."
"Option Title:","Опција Наслов:"
Rating,Оцена
"My Recent Reviews","Мy Рецент Рецензије"
"View All","Прикажи све"
"Average Customer Rating:","Авераге Купац Оцена:"
"Your Review","Yоур Рецензија"
"Back to My Reviews","Назад то Мy Рецензије"
"Ratings Review Summary","Оцене Рецензија Сажетак"
"Be the first to review this product","Оцените овај производ"
"Write Your Own Review","Wрите Yоур Оwн Рецензија"
"Your Rating","Yоур Оцена"
"Submit Review","Пошаљи Рецензија"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Само регистровани корисници могу писати рецензије. Молимо <а хреф=""%1"">пријавите се</а> или <а хреф=""%2"">направите налог</а>"
"Add Your Review","Додај Yоур Рецензија"
"%1 Review(s)","%1 Рецензија(с)"
"Review by","Преглед од стране"
"Back to Main Product Info","Назад то Маин Производ Информација"
"Average Customer Rating","Авераге Купац Оцена"
"Product Rating:","Производ Оцена:"
"Product Review (submitted on %1):","Производ Рецензија (субмиттед он %1):"
"Back to Product Reviews","Назад то Производ Рецензије"
"Please select one of each of the ratings above.","Молимо изаберите оне оф еацх оф тхе ратингс абове."
"Allow Guests to Write Reviews","Дозволи Гуестс то Wрите Рецензије"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Само регистровани корисници могу писати рецензије. Молимо, <а хреф=""%1"">пријавите се</а> или <а хреф=""%2"">направите налог</а>"
"The storage key wasn't set. Add the storage key and try again.","Тхе стораге кеy wасн'т сет. Додај тхе стораге кеy анд покушајте поново."
"Reward Points History","Наградни поени Хисторy"
"No Data","Не Дата"
"Reward Points Threshold","Наградни поени Тхресхолд"
"Reward Points Cap","Наградни поени Цап"
"Delete Orphan Points","Обриши Орпхан Поинтс"
"Update Reward Points Balance","Ажурирај Наградни поени Баланце"
"Update Points","Ажурирај Поинтс"
"Reward Points Notifications","Наградни поени Обавештења"
"Subscribe for Balance Updates","Пријави се фор Баланце Упдатес"
"Subscribe for Points Expiration Notifications","Пријави се фор Поинтс Еxпиратион Обавештења"
"Add New Rate","Додај Ново Рате"
"Edit Reward Exchange Rate","Измени Реwард Еxцханге Рате"
"New Reward Exchange Rate","Ново Реwард Еxцханге Рате"
"Reward Exchange Rate Information","Реwард Еxцханге Рате Информације"
"Please enter all rate information.","Молимо унесите алл рате информатион."
"Please enter a positive integer number in the left rate field.","Молимо унесите а поситиве интегер нумбер ин тхе лефт рате фиелд."
"Please enter a positive number in the right-side rate field.","Молимо унесите а поситиве нумбер ин тхе ригхт-сиде рате фиелд."
"Please enter a positive integer number in the right-side rate field.","Молимо унесите а поситиве интегер нумбер ин тхе ригхт-сиде рате фиелд."
"Please enter a positive number in the left-side rate field.","Молимо унесите а поситиве нумбер ин тхе лефт-сиде рате фиелд."
"You can't unsubscribed right now.","Не можете унсубсцрибед ригхт ноw."
"Updated by moderator","Ажуриран бy модератор"
"All Customer Groups","Све Групе Купаца"
First,Први
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Минимално стање наградних поена"" треба да буде позитиван број или остављено празно."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Максимално стање наградних поена"" треба да буде позитиван број или остављено празно."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Минимално стање наградних поена"" треба да буде мање или једнако ""Максималном стању наградних поена""."
"Customer earned promotion extra %1.","Купац еарнед промотион еxтра %1."
"Reward Points Balance","Наградни поени Баланце"
"Refund Reward Points","Повраћај Наградни поени"
"Reward Points refunded to customer","Наградни поени рефундед то цустомер"
"Reward points balance Information","Реwард поинтс баланце Информације"
"Email Notification Settings","Е-пошта Обавештење Подешавања"
"Save Subscription Settings","Сачувај Претплата Подешавања"
"Reward Points Balance Updated at %store_name","Наградни поени Баланце Ажуриран ат %сторе_наме"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<а хреф=""%унсубсцриптион_урл"">Ођавите се</а> са ових обавештења."
"Reward Points Expiry Warning at %store_name","Наградни поени Еxпирy Упозорење ат %сторе_наме"
"Your reward point was successfully applied","Yоур реwард поинт wас успешно апплиед"
"Manage Reward Points Balances","Манаге Наградни поени Баланцес"
"Can Spend Reward Points","Цан Спенд Наградни поени"
"Enable Reward Points Functionality","Омогући Наградни поени Фунцтионалитy"
"Enable Reward Points Functionality on Storefront","Омогући Наградни поени Фунцтионалитy он Сторефронт"
"Customers May See Reward Points History","Купци Маy Сее Наградни поени Хисторy"
"Cap Reward Points Balance At","Цап Наградни поени Баланце Ат"
"Reward Points Expire in (days)","Наградни поени Еxпире ин (даyс)"
"Reward Points Expiry Calculation","Наградни поени Еxпирy Цалцулатион"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Статички"" дефинише датум истека тачно када се стање повећава. ""Динамички"" нема датум истека, већ га израчунава када се стање провери за истек."
"Refund Reward Points Automatically","Повраћај Наградни поени Аутоматицаллy"
"Deduct Reward Points from Refund Amount Automatically","Дедуцт Наградни поени фром Повраћај Амоунт Аутоматицаллy"
"Actions for Acquiring Reward Points by Customers","Акције фор Ацqуиринг Наградни поени бy Купци"
"Newsletter Signup","Билтен Сигнуп"
"Converting Invitation to Customer","Цонвертинг Позивница то Купац"
"Invitation to Customer Conversions Quantity Limit","Позивница то Купац Цонверсионс Количина Лимит"
"Converting Invitation to Order","Цонвертинг Позивница то Поруџбина"
"Invitation to Order Conversions Quantity Limit","Позивница то Поруџбина Цонверсионс Количина Лимит"
"Invitation Conversion to Order Reward","Позивница Цонверсион то Поруџбина Реwард"
"Review Submission","Рецензија Субмиссион"
"Rewarded Reviews Submission Quantity Limit","Реwардед Рецензије Субмиссион Количина Лимит"
"Subscribe Customers by Default","Пријави се Купци бy Подразумевано"
"Balance Update Email","Баланце Ажурирај Е-пошта"
"Reward Points Expiry Warning Email","Наградни поени Еxпирy Упозорење Е-пошта"
"Expiry Warning Before (days)","Еxпирy Упозорење Бефоре (даyс)"
"Reward Points Rates","Наградни поени Ратес"
"Add Reward Points","Додај Наградни поени"
"Create an account on our site now and earn %1.","Креирај ан аццоунт он оур сите ноw анд еарн %1."
"Subscribe to our newsletter now and earn %1.","Пријави се то оур неwслеттер ноw анд еарн %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Пошаљи тхис инвитатион ноw анд еарн %с wхен yоур инвитее сигнс уп он оур сите."
"Submit a review now and earn %1 after the review is approved.","Пошаљи а ревиеw ноw анд еарн %1 афтер тхе ревиеw ис аппровед."
"Send this invitation now and earn %1 when your invitee signs up on our site.","Пошаљи тхис инвитатион ноw анд еарн %1 wхен yоур инвитее сигнс уп он оур сите."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","""Минимално стање наградних поена"" је неважеће. Стање мора бити позитиван број или остављено празно. Проверите и покушајте поново."
"The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","""Максимално стање наградних поена"" је неважеће. Стање мора бити позитиван број или остављено празно. Проверите и покушајте поново."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance"".","""Минимално стање наградних поена"" је неважеће. Стање мора бити мање или једнако ""Максималном стању наградних поена""."
Return,Повраћај
Returns,Повраћаји
"Create Returns","Креирај Повраћаји"
"Select Items","Изабери Итемс"
"New Return Request","Ново Повраћај Захтев"
"Create New RMA for %1 in %2","Креирај Ново РМА фор %1 ин %2"
"Create New RMA for %1","Креирај Ново РМА фор %1"
"Create New RMA","Креирај Ново РМА"
"Please Select Order","Плеасе Изабери Поруџбина"
"Grand Total (Base)","Гранд Укупно (Басе)"
"Grand Total (Purchased)","Гранд Укупно (Пурцхасед)"
"Are you sure you want to close this returns request?","Да ли сте сигурни желите да цлосе тхис ретурнс реqуест?"
"Return #%1 - %2","Повраћај #%1 - %2"
"RMA Item Details","РМА Итем Детаљи"
"Submit Comment","Пошаљи Цоммент"
"Custom Value","Прилагођене вредности"
"Print Shipping Label","Штампај Достава Лабел"
"Show Packages","Прикажи Пацкагес"
"Return Items","Повраћај Итемс"
"Return Reason","Повраћај Реасон"
Split,Раздвоји
"Return Information","Повраћај Информације"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Yоу хаве цхосен то цханге статус(ес) оф тхе селецтед РМА реqуестс то Затвори. Да ли сте сигурни желите да цонтинуе?"
"Return Item Attribute","Повраћај Итем Атрибут"
"Edit Return Item Attribute ""%1""","Измена атрибута ставке повраћаја ""%1"""
"New Return Item Attribute","Ново Повраћај Итем Атрибут"
"Submit Returns","Пошаљи Повраћаји"
"Add Selected Product(s) to returns","Додај Селецтед Производ(с) то ретурнс"
"Remaining Qty","Ремаининг Кол"
"Requested Qty","Реqуестед Кол"
"Reason to Return","Реасон то Повраћај"
"Add Details","Додај Детаљи"
"Invalid RMA","Неисправан РМА"
"Please enter a valid message.","Молимо унесите а валид мессаге."
"We cannot add the RMA history.","Wе не може адд тхе РМА хисторy."
"Invalid order","Неисправан ордер"
"Please specify a carrier.","Наведите оператера."
"Please enter a tracking number.","Молимо унесите Унесите број за прац́ење."
"We cannot initialize an RMA to add a tracking number.","Wе не може инитиализе ан РМА то адд а трацкинг нумбер."
"New Return","Ново Повраћај"
"%1 RMA(s) cannot be closed","%1 РМА(с) не може бе цлосед"
"We cannot close the RMA request(s).","Wе не може цлосе тхе РМА реqуест(с)."
"%1 RMA (s) have been closed.","%1 РМА (с) су цлосед."
"Edit Return Item Attribute","Измени Повраћај Итем Атрибут"
"Returns Attributes","Повраћаји Аттрибутес"
"New Return Attribute","Ново Повраћај Атрибут"
"Something went wrong while saving the RMA item attribute.","Нешто није у реду wхиле савинг тхе РМА итем аттрибуте."
"We cannot display the item attributes.","Wе не може дисплаy тхе итем аттрибутес."
"Something went wrong creating a shipping label.","Нешто није у реду цреатинг а схиппинг лабел."
"Products should be added to package(s)","Производи схоулд бе аддед то пацкаге(с)"
"Please enter a valid value.","Молимо унесите а валид валуе."
"We cannot display the available shipping methods.","Wе не може дисплаy тхе аваилабле схиппинг метходс."
"We cannot initialize an RMA to delete a tracking number.","Wе не може инитиализе ан РМА то делете а трацкинг нумбер."
"No items for bundle product","Не итемс фор бундле продуцт"
"Shipping Labels are not allowed.","Достава Лабелс аре нот аллоwед."
"Please select a valid carrier.","Молимо изаберите а валид царриер."
"Please enter a valid tracking number.","Молимо унесите а валид трацкинг нумбер."
"You submitted Return #%1.","Yоу субмиттед Повраћај #%1."
"We can't create a return right now. Please try again later.","Wе цан'т цреате а ретурн ригхт ноw. Покушајте поново латер."
"Create New Return","Креирај Ново Повраћај"
"Return #%1","Повраћај #%1"
"Cannot add message.","Не може адд мессаге."
"My Returns","Мy Повраћаји"
"Tracking Information","Трацкинг Информације"
"Page not found","Страница није пронађено"
"Contact Email Address","Цонтацт Е-пошта Адреса"
"Could not save the RMA comment.","Није могао саве тхе РМА цоммент."
"Could not delete the RMA comment.","Није могао делете тхе РМА цоммент."
"Return # ","Повраћај #"
"Return Date: ","Повраћај Датум:"
"Order # ","Поруџбина #"
"Ordered: ",Ордеред:
"Shipping Address:","Адреса за испоруку:"
"Return Address:","Повраћај Адреса:"
"Authorized Qty","Аутхоризед Кол"
"Returned Qty","Ретурнед Кол"
"Approved Qty","Одобрен Кол"
"%1 for item %2 cannot be empty.","%1 фор итем %2 не може бе емптy."
"You cannot return %1.","Yоу не може ретурн %1."
"You entered an invalid type: ""%1"".","Унели сте неважећи тип: ""%1""."
"You entered an invalid email address: ""%1"".","Унели сте неважећу емаил адресу: ""%1""."
"You entered an invalid hostname: ""%1""","Унели сте неважећи хостнаме: ""%1"""
"""%1"" is longer than allowed.","""%1"" је дуже од дозвољеног."
"Unknown service","Непознат сервице"
"We can't save this RMA. No items were specified.","Wе цан'т саве тхис РМА. Не итемс wере специфиед."
"Return Received","Повраћај Рецеивед"
"Return Partially Received","Повраћај Партиаллy Рецеивед"
"Partially Approved","Партиаллy Одобрен"
Rejected,Одбијен
"Partially Rejected","Партиаллy Одбијен"
"Processed and Closed","Процессед анд Затворен"
"We placed your Return request.","Wе плацед yоур Повраћај реqуест."
"We authorized your Return request.","Wе аутхоризед yоур Повраћај реqуест."
"We partially authorized your Return request.","Wе партиаллy аутхоризед yоур Повраћај реqуест."
"We received your Return request.","Wе рецеивед yоур Повраћај реqуест."
